plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
3	1	13	2014	0.179358638368642	18.0467330610361	8.06813424382796	9.97859881720816	17.8545497287418	0.177954170274002	9.77544312192059	8.07910660682116
3	1	14	2014	0.218553068889642	18.8870347469642	9.10539780110613	9.78163694585808	18.703128058433	0.217076414559756	9.60315450805489	9.09997355037814
3	1	15	2014	0.200217118467963	18.5266713791547	8.62806717443293	9.89860420472175	18.3528184231128	0.199407411850985	9.70554164873773	8.64727677437508
3	1	16	2014	0.279949843506473	19.8017637976201	10.6329391742321	9.168824623388	19.6252825690473	0.278327246079058	9.03034273730138	10.5949398317459
3	1	17	2014	0.197920723079088	18.4777840482888	8.56737724939948	9.91040679888928	18.3020103895803	0.197036986666894	9.71643440912968	8.58557598045058
3	1	18	2014	0.223641807369366	18.9784804467307	9.23579590473063	9.74268454200005	18.7982316624079	0.222314019809305	9.56628668475425	9.23194497765362
3	1	19	2014	0.287562905316916	19.8919458775324	10.8167078412918	9.07523803624055	19.7137477495616	0.285717778244535	8.94423395937655	10.7695137901851
3	1	20	2014	0.180564624082489	18.0768424897697	8.10107869230414	9.9757637974656	17.8831557884074	0.179085659389808	9.77349259493513	8.10966319347223
3	1	21	2014	0.157408694934095	17.4377797583393	7.45381154068313	9.98396821765622	17.2652365679484	0.156893880094603	9.76928349632182	7.49595307162654
3	1	22	2014	0.211880246175124	18.7617331124344	8.93310207742411	9.8286310350103	18.5529794596346	0.209205631074066	9.65316388400245	8.89981557563214
3	1	23	2014	0.164745147977139	17.65510053848	7.66246547644781	9.99263506203222	17.4643767953622	0.163563283900858	9.78058095155159	7.68379584381058
3	1	24	2014	0.189561468708646	18.2919183055073	8.3445432576339	9.94737504787335	18.1009735108087	0.188083132263401	9.75077602767428	8.35019748313446
3	1	25	2014	0.16727716889941	17.7267149269786	7.73366081726591	9.99305410971273	17.5262212530987	0.165722412805292	9.78227807954637	7.74394317355234
3	1	26	2014	0.170016725450476	17.8023508170321	7.81024579599976	9.99210502103231	17.625488384031	0.169280389840104	9.78309954760179	7.84238883642916
3	1	27	2014	0.166156847728584	17.6952343104827	7.70220931444501	9.99302499603774	17.5006964331172	0.164826040894411	9.78168566962195	7.71901076349527
3	1	28	2014	0.128051338882268	16.3905679742199	6.57613556095974	9.81443241326017	16.1875286861553	0.126941545775736	9.58150190064297	6.60602678551229
3	1	29	2014	0.193387157990225	18.3785641008904	8.44690801049063	9.93165609039973	18.1819483348156	0.191610497885625	9.73857275032633	8.44337558448924
3	1	30	2014	0.197420778353879	18.4670206577692	8.55413545744629	9.91288520032291	18.2911695913557	0.19653703062444	9.71863883211657	8.57253075923917
3	1	31	2014	0.147504624852553	17.1189642282011	7.16600539072092	9.95295883748014	16.9498082196283	0.147137228666045	9.73474617971473	7.21506203991353
3	1	32	2014	0.16695037097902	17.7175654595108	7.724494471859	9.9930709876518	17.5254199517327	0.165694159808311	9.78226181389111	7.74315813784157
3	1	33	2014	0.185806773971848	18.2041510801778	8.24341829609566	9.96073278408209	18.0012932747211	0.183879634893231	9.76294228424412	8.23835099047703
3	1	34	2014	0.209030912294824	18.7062608611603	8.85905424600281	9.84720661515748	18.5276865191793	0.207925219571145	9.66065277804068	8.86703374113863
3	1	35	2014	0.216465058132576	18.8485013045702	9.05164779748545	9.79685350708471	18.6613613935203	0.214839398639731	9.61804542001667	9.04331597350364
3	1	36	2014	0.150542843320354	17.2200888639411	7.25509417744274	9.96499468649839	16.9968994410354	0.148535418897943	9.74110668583733	7.25579275519811
3	1	37	2014	0.15915942065379	17.4910169043724	7.50393531623288	9.9870815881395	17.2938965358478	0.157828102335659	9.77143762218899	7.52245891365881
3	1	38	2014	0.194060000756062	18.3935223958863	8.46484356838695	9.92867882749936	18.2038363314649	0.192581957263594	9.73490370315047	8.46893262831441
3	1	39	2014	NA	NA	NA	NA	NA	NA	NA	NA
3	1	40	2014	0.180271465039653	18.0695522267807	8.09307732586966	9.97647490091107	17.8738875137162	0.178717835775982	9.77414978283228	8.09973773088391
3	1	41	2014	0.143751958168728	16.9897198121488	7.05492296271575	9.93479684943309	16.7912159300174	0.142568734956034	9.71043213857256	7.08078379144481
3	1	42	2014	0.150254021897606	17.2106066146399	7.24665666252596	9.96394995211394	16.9846936090258	0.14817112952611	9.73949693964762	7.24519666937821
3	1	43	2014	0.228714859516526	19.0663169469616	9.36498567121527	9.70133127574635	18.8958026916587	0.227905617853556	9.52397395793808	9.3718287337206
3	1	44	2014	0.12963791532728	16.4558097523667	6.62564510569277	9.83016464667395	16.2597308729539	0.128677403958088	9.59967177232404	6.66005910062989
3	1	45	2014	0.235139681880162	19.1730667273588	9.52751053695208	9.6455561904067	18.9946911147312	0.233812325024027	9.47615928876744	9.51853182596374
3	1	46	2014	0.184535199282083	18.1737918115306	8.20901738941008	9.9647744221205	17.9903856556939	0.18342863683931	9.76408878608345	8.2262968696105
3	1	47	2014	0.127932665345815	16.385641888742	6.57242126804231	9.81322062069972	16.1919341298816	0.127046507158197	9.58263021884636	6.60930391103519
3	1	48	2014	0.145080887225601	17.0360525903941	7.09439603885645	9.94165655153766	16.827618524434	0.14359871613003	9.71639779252239	7.11122073191157
3	1	49	2014	0.167692538105495	17.738304683319	7.74530197528074	9.99300270803823	17.5337473798096	0.165988135647316	9.78242343566759	7.75132394414204
