Snr	year	d	h	dd	dh	ba	bai	plot
8	2009	0.1927	17.44	0.00146	0.21	0.0291644177669048	0.000440256825448039	3
8	2010	0.19449	17.6	0.00179	0.16	0.0297087537505505	0.000544335983645684	3
8	2011	0.19679	17.74	0.0023	0.14	0.0304155681153111	0.000706814364760554	3
8	2012	0.19875	17.94	0.00196	0.2	0.0310244546388295	0.000608886523518446	3
8	2013	0.20023	18.24	0.00148	0.3	0.0314882247144933	0.000463770075663826	3
8	2014	0.20216	18.57	0.00193	0.33	0.0320981749027445	0.000609950188251132	3
8	2015	0.20342	18.77	0.00126	0.2	0.032499537554504	0.000401362651759526	3
8	2016	0.20464	18.98	0.00122	0.21	0.0328905348354623	0.000390997280958272	3
8	2017	0.2059	19.18	0.00126	0.2	0.0332968059115838	0.000406271076121491	3
8	2018	0.20721	19.41	0.00131	0.23	0.033721843055802	0.000425037144218273	3
9	2002	0.08714	10.77	0.00124	0.25	0.00596382639181965	0.000168522569760925	3
9	2003	0.08823	11.05	0.00109	0.28	0.00611395784256701	0.000150131450747362	3
9	2004	0.08957	11.26	0.00134	0.21	0.00630108052579278	0.00018712268322577	3
9	2005	0.09103	11.48	0.00146	0.22	0.00650817117192477	0.000207090646131984	3
9	2006	0.09239	11.73	0.00136	0.25	0.00670408968626206	0.00019591851433729	3
9	2007	0.09365	11.96	0.00126	0.23	0.00688819518390332	0.000184105497641262	3
9	2008	0.09489	12.19	0.00124	0.23	0.00707181310636474	0.000183617922461424	3
9	2009	0.09628	12.44	0.00139	0.25	0.00728051405435114	0.000208700947986399	3
9	2010	0.09747	12.69	0.00119	0.25	0.00746159741839946	0.000181083364048324	3
9	2011	0.09901	12.91	0.00154	0.22	0.00769924256636173	0.000237645147962269	3
9	2012	0.10023	13.14	0.00122	0.23	0.00789015149705361	0.000190908930691876	3
9	2013	0.1012	13.39	0.00097	0.25	0.00804360816654516	0.000153456669491553	3
